Results,Number of Threads/Sockets[Integer],Number Of messages[Integer],Packet Size[Bytes],Size per message[Bytes],RTT[us],Throughput[Mib/s],Packet Rate[P/s]
,1,1000,1,1,5.44,2.94,367849.92
,2,2000,1,0.5,2.75,5.82,726876.25
,4,4000,1,0.25,1.35,11.87,1483954.74
,8,8000,1,0.12,0.68,23.49,2935779.82
,1,1000,2,2,5.53,5.78,361532.9
,2,2000,2,1,2.8,5.71,713903.27
,4,4000,2,0.5,1.38,23.27,1454545.45
,8,8000,2,0.25,0.71,45.29,2830856.33
,1,1000,4,4,5.46,11.72,366300.37
,2,2000,4,2,3.38,9.48,592241.63
,4,4000,4,1,1.37,11.64,1455339.28
,8,8000,4,0.5,0.68,93.62,2925580.54
,1,1000,8,8,5.45,23.5,367174.59
,2,2000,8,4,2.81,22.75,710984.71
,4,4000,8,2,1.39,23.09,1443261.77
,8,8000,8,1,0.72,22.18,2772963.6
,1,1000,16,16,5.84,43.81,342231.35
,2,2000,16,8,2.98,42.91,670465.97
,4,4000,16,4,1.48,43.15,1348390.36
,8,8000,16,2,0.75,42.59,2661786.72
,1,1000,32,32,5.45,93.94,366972.48
,2,2000,32,16,2.85,89.7,700770.85
,4,4000,32,8,1.39,92.42,1444043.32
,8,8000,32,4,0.71,89.82,2807017.54
,1,1000,64,64,5.96,171.96,335852.23
,2,2000,64,32,2.98,172.04,672043.01
,4,4000,64,16,1.45,176.61,1379786.13
,8,8000,64,8,0.75,170.67,2666666.67
,1,1000,128,128,5.96,343.8,335739.47
,2,2000,128,64,3,341.16,666333.5
,4,4000,128,32,1.41,362.67,1416681.42
,8,8000,128,16,0.73,350.03,2734575.29
,1,1000,256,256,6.03,679.38,331729.97
,2,2000,256,128,3.09,661.82,646307.97
,4,4000,256,64,1.48,692.24,1352036.5
,8,8000,256,32,0.77,662.89,2589415.76
,1,1000,512,512,6.43,1273.04,310800.31
,2,2000,512,256,3.14,1305.5,637450.2
,4,4000,512,128,1.5,1363.97,1332001.33
,8,8000,512,64,0.76,1355.84,2648129.76
,1,1000,1024,1024,7,2338.9,285510.35
,2,2000,1024,512,3.37,2434.47,594353.64
,4,4000,1024,256,1.55,2637.05,1287622.73
,8,8000,1024,128,0.78,2640.45,2578565.67
,1,1000,2048,2048,7.48,4379.58,267308.21
,2,2000,2048,1024,3.51,4672.47,570369.31
,4,4000,2048,512,1.6,5126.41,1251564.46
,8,8000,2048,256,0.82,4979.94,2431610.94
,1,1000,4096,4096,9.45,6938.7,211752.25
,2,2000,4096,2048,3.96,8269.53,504731.86
,4,4000,4096,1024,1.77,9272.21,1131861.91
,8,8000,4096,512,0.85,9688.94,2365464.22
,1,1000,8192,8192,11.28,11618.83,177289.25
,2,2000,8192,4096,5.44,12057.03,367951.43
,4,4000,8192,2048,2.08,15761.42,962000.96
,8,8000,8192,1024,0.97,16914.7,2064782.55
,1,1000,16384,16384,16.62,15769.01,120307.99
,2,2000,16384,8192,5.92,22146.15,337923.46
,4,4000,16384,4096,2.96,22116.26,674934.62
,8,8000,16384,2048,1.1,29867.15,1822946.34
,1,1000,32768,32768,26.35,19897.08,75901.33
,2,2000,32768,16384,9.66,27128.63,206975.06
,4,4000,32768,8192,3.41,38431.9,586424.28
,8,8000,32768,4096,1.55,42233.61,1288867.41
,1,1000,65536,65536,39.85,26314.39,50190.72
,2,2000,65536,32768,17,30845.91,117667.82
,4,4000,65536,16384,5.53,47444.73,361974.57
,8,8000,65536,8192,2.48,52883.6,806939.68
,1,1000,131072,131072,71.64,29271.84,27915.81
,2,2000,131072,65536,26.26,39928.26,76157.11
,4,4000,131072,32768,9.24,56768.77,216555.68
,8,8000,131072,16384,4.69,55907.65,426541.55
,1,1000,262144,262144,152,27594.83,13158.24
,2,2000,262144,131072,54.23,38674.65,36883.02
,4,4000,262144,65536,18.58,56427.39,107626.7
,8,8000,262144,32768,7.49,69965.7,266897.98
,1,1000,524288,524288,296.81,28262.55,6738.32
,2,2000,524288,262144,91.58,45798.84,21838.59
,4,4000,524288,131072,41.87,50082.44,47762.33
,8,8000,524288,65536,14.96,70086.71,133679.79
,1,1000,1048576,1048576,586.31,28614.83,3411.15
,2,2000,1048576,524288,210.52,39847.37,9500.35
,4,4000,1048576,262144,70.48,59512.46,28377.75
,8,8000,1048576,131072,37.26,56280.12,53672.9
