Results,Number of Threads/Sockets[Integer],Number Of messages[Integer],Packet Size[Bytes],Size per message[Bytes],RTT[us],Throughput[Mib/s],Packet Rate[P/s]
,1,1000,1,1,5.66,2.83,353356.89
,2,2000,1,0.5,2.73,5.87,733810.31
,4,4000,1,0.25,1.36,11.74,1467351.43
,8,8000,1,0.12,0.68,23.58,2947678.7
,1,1000,2,2,5.41,5.92,369959.3
,2,2000,2,1,14.4,2.22,138859.96
,4,4000,2,0.5,1.35,23.62,1476559.62
,8,8000,2,0.25,0.7,45.47,2841918.29
,1,1000,4,4,5.45,11.75,367039.82
,2,2000,4,2,14.3,4.47,139830.8
,4,4000,4,1,10.74,5.96,186137.42
,8,8000,4,0.5,0.68,94.43,2950940.61
,1,1000,8,8,5.44,23.53,367647.06
,2,2000,8,4,10.67,11.99,187415.08
,4,4000,8,2,26.94,4.75,74238.36
,8,8000,8,1,29.34,4.36,68162.84
,1,1000,16,16,5.43,47.14,368256.31
,2,2000,16,8,6.08,42.08,328731.1
,4,4000,16,4,29.42,8.7,67980.39
,8,8000,16,2,20.51,12.48,97512.22
,1,1000,32,32,5.45,94.03,367309.46
,2,2000,32,16,11.56,44.28,172958.01
,4,4000,32,8,12.99,39.4,153908.31
,8,8000,32,4,35.14,14.57,56913.98
,1,1000,64,64,6.34,161.49,315407.66
,2,2000,64,32,14.18,72.22,141048.7
,4,4000,64,16,6.96,147.19,287480.24
,8,8000,64,8,11.5,89.06,173935.73
,1,1000,128,128,5.78,354.2,345901.07
,2,2000,128,64,7.74,264.63,258431.32
,4,4000,128,32,22.32,91.75,89595.7
,8,8000,128,16,27.57,74.29,72549.2
,1,1000,256,256,5.99,683.46,333722.68
,2,2000,256,128,7.9,518.51,253180.58
,4,4000,256,64,23.95,171.06,83524.74
,8,8000,256,32,75.27,54.42,26572.47
,1,1000,512,512,6.22,1317.89,321750.32
,2,2000,512,256,13.96,586.76,143251.08
,4,4000,512,128,11.21,731.07,178483.78
,8,8000,512,64,17.62,464.93,113508.18
,1,1000,1024,1024,6.83,2399.88,292954.45
,2,2000,1024,512,9.05,1811.29,221104.42
,4,4000,1024,256,17.89,915.67,111775.55
,8,8000,1024,128,32.36,506.27,61800.88
,1,1000,2048,2048,7.3,4488.15,273935.08
,2,2000,2048,1024,12.27,2670.03,162965.98
,4,4000,2048,512,15.19,2156.75,131637.4
,8,8000,2048,256,30.27,1082.36,66062.2
,1,1000,4096,4096,10.2,6424.47,196059.21
,2,2000,4096,2048,10.85,6038.79,184289.33
,4,4000,4096,1024,15.42,4249.17,129674.36
,8,8000,4096,512,31.47,2082.2,63543.76
,1,1000,8192,8192,11.25,11649.81,177761.98
,2,2000,8192,4096,23.84,5498.1,83894.38
,4,4000,8192,2048,20.2,6488.71,99009.9
,8,8000,8192,1024,45.63,2872.63,43832.85
,1,1000,16384,16384,15.47,16944.22,129274.13
,2,2000,16384,8192,17.13,15302.76,116750.82
,4,4000,16384,4096,38.82,6752.68,51518.84
,8,8000,16384,2048,66.29,3954.38,30169.5
,1,1000,32768,32768,23.77,22061.35,84157.37
,2,2000,32768,16384,37.25,14074.28,53689.11
,4,4000,32768,8192,20.26,25881.82,98731.3
,8,8000,32768,4096,96.04,5458.85,20823.84
,1,1000,65536,65536,39.92,26269.57,50105.22
,2,2000,65536,32768,42.38,24744.57,47196.53
,4,4000,65536,16384,48.46,21638.42,41272
,8,8000,65536,8192,92.25,11367.25,21681.3
,1,1000,131072,131072,64.04,32748.04,31230.97
,2,2000,131072,65536,68.34,30685.46,29263.94
,4,4000,131072,32768,85.17,24624.21,23483.48
,8,8000,131072,16384,88.97,23570.99,22479.05
,1,1000,262144,262144,120.28,34871.75,16628.14
,2,2000,262144,131072,181.19,23148.65,11038.14
,4,4000,262144,65536,118.81,35304.03,16834.27
,8,8000,262144,32768,150.05,27951.92,13328.51
,1,1000,524288,524288,296.54,28287.9,6744.36
,2,2000,524288,262144,328.39,25544.5,6090.28
,4,4000,524288,131072,254.53,32957.21,7857.61
,8,8000,524288,65536,247.79,33853.78,8071.37
,1,1000,1048576,1048576,586.37,28612.24,3410.84
,2,2000,1048576,524288,671.61,24980.59,2977.92
,4,4000,1048576,262144,495.23,33877.59,4038.52
,8,8000,1048576,131072,486.24,34503.92,4113.19
